strain,WBGene00000367,WBGene00001171,WBGene00001187,WBGene00001202,WBGene00002149,WBGene00002235,WBGene00002242,WBGene00003558,WBGene00004830,WBGene00004831,WBGene00006742,WBGene00007176,WBGene00014261,WBGene00022240
JU2575,8.047745819713768,6.740487955643868,8.734682255699175,7.02858971053525,6.608532083159976,7.548114936677064,6.624464199193684,7.089772421534612,7.927363327927953,8.53969164580357,8.26127085292522,7.365226616855619,7.795886848638633,7.08111109961603
JU2576,8.36955474135441,6.993949972207023,8.896721858543032,7.1602880185083,6.680572849309475,7.634639712240513,6.94904873597505,7.081971786083427,8.213787400162234,8.470733903361987,8.41245278431152,7.399271528038276,7.785054215971236,7.062985691807883
JU2578,8.146058904295023,6.90243827306787,8.541266894659342,6.926795673077323,6.402516601831728,7.390031542652522,6.717156351227995,6.959504312890458,7.966890031726294,8.174899939019888,8.084060789034838,7.246276053941072,7.54859191425995,6.860295088302039
JU2581,8.320895055167963,7.023163519546117,8.88433129013997,7.142744190365296,6.585148718110143,7.300301702114015,6.9776852339258495,6.957343511433206,7.859317360082806,8.509570247594098,8.196841588353115,7.539021832298045,7.680156761204301,7.066546330386531
JU2586,8.050225050644517,6.87905635044527,8.569321471603498,7.007713046063981,6.598647014230223,7.276604522640218,6.773128298544242,6.998615172483771,7.8691572972884565,8.182896784978643,8.135325333794672,7.3034301591393,7.514413052593892,6.862306172318819
JU2592,8.31301214968299,6.764354533969309,8.79546493321491,7.147504451783248,6.600869721461875,7.346689868254998,6.781984429657204,6.987412741947135,7.801853157133017,8.492744404791221,8.261721591228072,7.342896881705166,7.856165577904091,7.2271849110339375
JU2600,8.094394346447407,6.806714836501806,8.700257403566296,6.982982131019434,6.532325688429025,7.447665784805812,6.818439256934443,6.98170602896594,8.07457008098691,8.522706421155927,8.184187039608096,7.379865439208055,7.715008243502828,7.116728467231946
JU2610,8.06822731003345,6.754173950051652,8.749545934419936,7.173490668411817,6.565468540254328,7.524159285692856,6.775851417729946,6.831282214502567,7.924712743453032,8.557680367038918,8.156239042133167,7.360883675400303,7.831653361143207,7.2267062312899295
JU2619,8.115412780532116,6.929890175754834,8.580765847985914,6.9214731759050965,6.513126224598138,7.396201942401788,6.693329680941458,7.044764355789125,7.826943832215631,8.172226052019116,8.048287323189967,7.134010937922771,7.538051641910934,6.916714908471612
JU2800,7.821792275621397,6.869650966482427,8.56462988626439,6.825892397874532,6.393372621877054,7.612466313921394,6.6912385013341975,7.047164341387288,7.822913752464617,8.19574726763736,7.934145755721661,6.816124373811605,7.565978976554127,6.621414085002103
JU2811,7.586565820285572,6.747316383907075,7.989075391551997,6.84685848420008,6.320741386776382,7.232751238948465,6.585708877307105,6.739163637981443,7.440666827551319,7.60372861587196,7.626190153802352,7.044887606597061,7.104735213421498,6.304624938277579
JU2838,7.580933071132616,6.62650483755476,7.8842580584476645,6.932095080880986,6.449752772206594,7.189653197091498,6.7566171934498955,6.662665463667393,7.456656650677434,7.879618422042116,7.589514936679758,6.962288904637048,7.353613972855,6.835620151171591
JU2841,8.206927386480686,6.92525238867457,8.542001723929404,7.127337682928532,6.649180025542849,7.439415787475496,6.68653473927599,7.048366582471116,7.551793991068084,8.253147214546626,8.205739020103186,7.28871375563967,7.592879598074302,6.8012478147994235
JU2853,8.133304288175779,6.613415524261217,8.537621360394303,6.971434378912107,6.262391463687934,7.319040634233158,6.800036849009092,7.135189348186982,7.5844754279885445,8.247259605532367,8.189294968814917,7.178760922283421,7.73709220070488,6.7943476029475045
JU2862,8.088637919537888,6.821162439755517,8.820076946365601,7.133012991246944,6.574434578895032,7.326903751492581,6.854201982118257,7.004713291676437,7.7918142933510754,8.282725610582876,7.969472710859965,7.183590296084664,7.411592060505124,6.991364931399657
JU2866,8.35442732559658,6.947873757322328,9.031019090182612,7.05188789171585,6.583758380895837,7.395958649415924,6.794305606806637,7.059472594139232,8.22567215176271,8.659000620949074,8.257043533945442,7.503811876380967,7.700419798683788,7.024230075993868
JU2879,8.12760562565909,6.806602053596102,8.683420563663255,7.063915174390223,6.54698809891961,7.483158196074949,6.716268785900305,7.018234113701746,7.970866544043118,8.213141042424928,8.22010437494077,7.332326860655171,7.526162360780985,6.911468578657856
JU2906,7.897559738419742,6.837881876074955,8.489535826508014,6.987463840367753,6.423475995946844,7.575536737022743,6.801074568723336,6.923530298973064,7.913564659777581,8.37623441051097,8.05167754582706,7.420699103519547,7.4338188957208455,6.872966209366326
